      #Energy        TDOS-UP        TDOS-DOWN
       3.40907       0.00000       0.00000
       3.55707       0.00000       0.00000
       3.70507       0.00000       0.00000
       3.85207       0.00000       0.00000
       4.00007      -0.00000       0.00000
       4.14807      -0.00000       0.00000
       4.29607      -0.00000       0.00000
       4.44307       0.00076       0.00000
       4.59107       0.00004      -0.00016
       4.73907      -0.00000      -0.00064
       4.88707      -0.00000       0.00000
       5.03507      -0.00008       0.00000
       5.18207       0.00502       0.00000
       5.33007      -0.00017       0.00017
       5.47807      -0.00000      -0.00502
       5.62607       0.00690       0.00008
       5.77307       0.00824       0.00001
       5.92107       0.00646      -0.00775
       6.06907      -0.00019      -0.01042
       6.21707       0.00674      -0.00331
       6.36507       0.04174       0.00025
       6.51207       0.02585      -0.00660
       6.66007       0.02867      -0.04933
       6.80807       0.03613      -0.01777
       6.95607       0.00605      -0.02333
       7.10307       0.03348      -0.04348
       7.25107       0.01950      -0.00625
       7.39907       0.01897      -0.03204
       7.54707       0.00680      -0.01639
       7.69407       0.02081      -0.02201
       7.84207       0.03988      -0.00181
       7.99007       0.01863      -0.02687
       8.13807      -0.00013      -0.03781
       8.28607       0.03873      -0.00501
       8.43307       0.03127      -0.01410
       8.58107       0.03577      -0.02062
       8.72907       0.03911      -0.04154
       8.87707       0.02392      -0.04564
       9.02407       0.02186      -0.03701
       9.17207       0.02467      -0.01263
       9.32007       0.02438      -0.03249
       9.46807       0.04372      -0.00672
       9.61507       0.04046      -0.03054
       9.76307       0.01105      -0.04051
       9.91107       0.03658      -0.02785
      10.05907       0.00260      -0.03487
      10.20707       0.02727      -0.02171
      10.35407       0.04515      -0.01948
      10.50207      -0.00102      -0.00256
      10.65007       0.03173      -0.03398
      10.79807      -0.00051      -0.03840
      10.94507       0.00982       0.00097
      11.09307       0.04086      -0.03249
      11.24107       0.01137       0.00092
      11.38907       0.01195      -0.00934
      11.53707       0.00242      -0.03962
      11.68407       0.01440      -0.01334
      11.83207       0.00530      -0.00089
      11.98007       0.00417      -0.01333
      12.12807       0.00515      -0.01830
      12.27507       0.04905      -0.00080
      12.42307       0.00172      -0.00237
      12.57107       0.04051      -0.02147
      12.71907       0.03414      -0.02294
      12.86607       0.02733      -0.02540
      13.01407       0.02532      -0.04993
      13.16207      -0.00068      -0.00068
      13.31007       0.01008      -0.04877
      13.45807      -0.00037      -0.01369
      13.60507       0.00486       0.00010
      13.75307       0.01549      -0.01146
      13.90107       0.05591      -0.01176
      14.04907       0.00811      -0.01305
      14.19607       0.02926      -0.02912
      14.34407       0.04456      -0.02077
      14.49207       0.01664      -0.02402
      14.64007       0.06385      -0.02953
      14.78707       0.04012      -0.03127
      14.93507       0.00597      -0.02004
      15.08307      -0.00065      -0.02452
      15.23107       0.03178      -0.04881
      15.37907      -0.00013      -0.02543
      15.52607       0.00615      -0.01882
      15.67407       0.00950      -0.00798
      15.82207       0.03069      -0.02725
      15.97007       0.02946      -0.01944
      16.11707       0.05262      -0.01419
      16.26507       0.01092      -0.03136
      16.41307       0.05328      -0.01830
      16.56107       0.03964      -0.05737
      16.70907       0.01177      -0.00762
      16.85607       0.02641      -0.04438
      17.00407       0.03310      -0.04196
      17.15207       0.02568      -0.00201
      17.30007       0.01279      -0.01013
      17.44707       0.01011      -0.03731
      17.59507       0.02479      -0.02836
      17.74307       0.01039      -0.02976
      17.89107       0.01020       0.00153
      18.03807       0.01820      -0.03163
      18.18607       0.00088      -0.00938
      18.33407      -0.00000       0.00089
      18.48207       0.00000      -0.01984
      18.63007       0.00000       0.00020
      18.77707       0.00000       0.00000
      18.92507       0.00000       0.00000
      19.07307       0.00000       0.00000
      19.22107       0.00000       0.00000
      19.36807       0.00000       0.00000
      19.51607       0.00000       0.00000
      19.66407       0.00000       0.00000
      19.81207       0.00000       0.00000
      19.95907       0.00000       0.00000
      20.10707       0.00000       0.00000
      20.25507       0.00000       0.00000
      20.40307       0.00000       0.00000
