time_ps,axial_mean,axial_std,radial_mean,radial_std,axial_velocity_mean,axial_velocity_std,radial_velocity_mean,radial_velocity_std,n_ions
0.0,6.856171999999999,2.5886448055601945,2.586257420841696,1.0787979266951526,0.0,0.0,0.0,0.0,5
1.0,7.855705333333333,2.8268164727029745,2.462907587084034,0.9746947339466303,0.9995333333333333,0.3987999013261884,-0.1233498337576624,0.23881927034831493,5
2.0,8.269809333333333,3.022650278533834,2.6394496232072733,0.882009591910135,0.41410400000000075,0.21247967489882688,0.17654203612323918,0.39095206604707755,5
3.0,8.246983333333334,2.991033683758659,2.7586807719633195,0.8869087193457263,-0.022826000000000058,0.08527095924561051,0.11923114875604672,0.19014376252735257,5
4.0,8.165330333333333,2.961738082302049,2.8519750214031303,0.8998611947306104,-0.08165300000000073,0.08696812636695049,0.09329424943981039,0.09257522314026127,5
5.0,8.595631333333333,3.0177216211764795,2.9803900084091035,0.880827817102325,0.4303010000000004,0.30009791743992126,0.12841498700597334,0.08070228543784828,5
6.0,8.462714666666667,2.9621015321684863,2.9699023400899103,0.8707025011277351,-0.13291666666666585,0.17165595385667323,-0.010487668319193455,0.12790103932534938,5
7.0,8.612184,2.9963963417609563,2.9057809766943117,0.8575184401086673,0.14946933333333182,0.08573982534777287,-0.06412136339559864,0.06062035637450959,5
8.0,8.544696666666667,3.066190176050186,2.9385406983076168,0.8659457607592714,-0.06748733333333234,0.0991280013282492,0.032759721613305405,0.07390609009523619,5
9.0,8.704291999999999,2.984083695690148,2.845912037372333,0.8608394405325669,0.1595953333333325,0.1152150429771319,-0.09262866093528373,0.04763126212534571,5
10.0,8.688316,3.0025356658199187,2.8898814960344152,0.8519540829421108,-0.01597599999999986,0.08801060154953547,0.043969458662081705,0.06013258832445927,5
11.0,8.881477333333333,2.927637276570875,2.820384509490464,0.8822437753831364,0.19316133333333366,0.20884929954767809,-0.06949698654395058,0.115553775728642,5
12.0,9.104341333333334,2.844748045995247,2.7872994907019097,0.8794906613110708,0.22286400000000003,0.09193251011596544,-0.03308501878855456,0.14310088894106476,5
13.0,9.095669333333332,2.822431809413373,2.7310882438679442,0.9097228230450364,-0.008672000000000324,0.048213700247497,-0.05621124683396541,0.0752971976945303,5
14.0,9.445872333333334,2.6066121623429135,2.8433021368024485,0.8076212773451967,0.35020300000000015,0.25832151364229133,0.11221389293450383,0.1922910458062761,5
15.0,9.444024,2.614933496031889,2.87737650375448,0.83128537281391,-0.0018483333333332297,0.04397833416076129,0.03407436695203185,0.04011358182114071,5
16.0,9.525992666666665,2.6836463288362395,2.831558859653745,0.830256375107647,0.0819686666666664,0.08751868456633871,-0.04581764410073501,0.09289122525217512,5
17.0,9.593440000000001,2.560043490631665,2.796912836470766,0.859118606531652,0.06744733333333457,0.14367914138261142,-0.03464602318297936,0.15616013095117307,5
18.0,9.593831666666667,2.533169319111492,2.844393835832552,0.848066030557799,0.00039166666666616833,0.0824201918086689,0.04748099936178614,0.07805605607911549,5
19.0,9.727144000000001,2.5356451221497416,2.8148153802406504,0.8061068620909186,0.13331233333333348,0.05905583864821887,-0.029578455591901375,0.11542598529003001,5
20.0,9.856460333333334,2.472149389499708,2.825929823478874,0.7896913176663427,0.12931633333333253,0.09312421144423784,0.011114443238223127,0.17079225492248165,5
21.0,9.840024333333334,2.499346350117833,2.8203443965519703,0.8044061280752839,-0.016436000000000027,0.12153976911831546,-0.00558542692690307,0.04932442961741959,5
22.0,9.771180333333334,2.5844284824326897,2.80361934541214,0.8369745731782191,-0.06884399999999982,0.12849199442680412,-0.01672505113983025,0.07340541894159539,5
23.0,9.848899666666666,2.4981848694627593,2.7794348949592034,0.7658276123567619,0.07771933333333347,0.15411282975866206,-0.024184450452936445,0.10684226666735018,5
24.0,9.935374333333332,2.567539308632251,2.7921252822956597,0.8944226566464804,0.0864746666666667,0.10306277214720563,0.012690387336455711,0.12977817433954106,5
25.0,9.966352333333333,2.5459826287647327,2.787996468318494,0.8697645114184593,0.030977999999999818,0.15591310238719583,-0.004128813977165269,0.1636696501750696,5
26.0,9.917290333333334,2.605848928106496,2.7874771647260115,0.9009440576561818,-0.04906200000000016,0.08332982105531724,-0.0005193035924827338,0.11620201907132702,5
27.0,10.105263333333333,2.664580557460322,2.8048415723001936,0.8224094581001818,0.1879730000000004,0.10034759114863416,0.017364407574181895,0.11969556841235442,5
28.0,10.297102666666667,2.7528045103658676,2.803694352154104,0.872792985246349,0.19183933333333378,0.2037772813572042,-0.0011472201460894116,0.14845746401308388,5
29.0,10.250768666666668,2.737135371293296,2.793434212923323,0.8007914781500491,-0.04633400000000058,0.07659548601147001,-0.010260139230781196,0.09337839521669071,5
30.0,10.2574,2.7457394013588474,2.8167285246682576,0.9017007262209282,0.006631333333333345,0.02699129763872422,0.023294311744934904,0.10834893813026308,5
31.0,10.219612000000001,2.7670512318851475,2.8412972912199415,0.8774603662141818,-0.03778799999999993,0.07253919542334873,0.02456876655168405,0.1047043823857333,5
32.0,10.318679333333334,2.7653843156547984,2.8370085359915715,0.8695678114106284,0.09906733333333388,0.05712398879824729,-0.004288755228369823,0.09882847707462424,5
33.0,10.292754333333333,2.715975190895241,2.8163758312429863,0.89950015062057,-0.025925000000001218,0.08923458894646497,-0.020632704748585605,0.0902544483610813,5
34.0,10.28623,2.778947807162512,2.851075295045672,0.8750895388388421,-0.006524333333332422,0.10058373077303485,0.03469946380268629,0.04151519098086597,5
35.0,10.410100000000002,2.7662452490045064,2.863732582292784,0.888070133646045,0.12387000000000015,0.014861996127333393,0.012657287247111348,0.1149182330676339,5
